date	station	price	address	city	yday	weekday	day	month	year
2021-05-08	St1	15.79	Torvingegatan 1	Linköping	128.0	Saturday	8	May	2021
2021-05-09	St1	15.74	Torvingegatan 1	Linköping	129.0	Sunday	9	May	2021
2021-05-10	St1	15.74	Torvingegatan 1	Linköping	130.0	Monday	10	May	2021
2021-05-11	St1	15.69	Torvingegatan 1	Linköping	131.0	Tuesday	11	May	2021
2021-05-12	St1	15.69	Torvingegatan 1	Linköping	132.0	Wednesday	12	May	2021
2021-05-13	St1	15.69	Torvingegatan 1	Linköping	133.0	Thursday	13	May	2021
2021-05-14	St1	15.54	Torvingegatan 1	Linköping	134.0	Friday	14	May	2021
2021-05-15	St1	15.54	Torvingegatan 1	Linköping	135.0	Saturday	15	May	2021
2021-05-16	St1	15.54	Torvingegatan 1	Linköping	136.0	Sunday	16	May	2021
2021-05-17	St1	15.54	Torvingegatan 1	Linköping	137.0	Monday	17	May	2021
2021-05-18	St1	15.69	Torvingegatan 1	Linköping	138.0	Tuesday	18	May	2021
2021-05-19	St1	15.44	Torvingegatan 1	Linköping	139.0	Wednesday	19	May	2021
2021-05-20	St1	15.44	Torvingegatan 1	Linköping	140.0	Thursday	20	May	2021
2021-05-21	St1	15.44	Torvingegatan 1	Linköping	141.0	Friday	21	May	2021
2021-05-22	St1	15.44	Torvingegatan 1	Linköping	142.0	Saturday	22	May	2021
2021-05-23	St1	15.44	Torvingegatan 1	Linköping	143.0	Sunday	23	May	2021
2021-05-24	St1	15.44	Torvingegatan 1	Linköping	144.0	Monday	24	May	2021
2021-05-25	St1	15.59	Torvingegatan 1	Linköping	145.0	Tuesday	25	May	2021
2021-05-26	St1	15.59	Torvingegatan 1	Linköping	146.0	Wednesday	26	May	2021
2021-05-27	St1	15.44	Torvingegatan 1	Linköping	147.0	Thursday	27	May	2021
2021-05-28	St1	15.44	Torvingegatan 1	Linköping	148.0	Friday	28	May	2021
2021-05-30	St1	15.44	Torvingegatan 1	Linköping	150.0	Sunday	30	May	2021
2021-05-31	St1	15.74	Torvingegatan 1	Linköping	151.0	Monday	31	May	2021
2021-06-01	St1	15.34	Torvingegatan 1	Linköping	152.0	Tuesday	1	June	2021
2021-06-02	St1	15.34	Torvingegatan 1	Linköping	153.0	Wednesday	2	June	2021
2021-06-03	St1	15.34	Torvingegatan 1	Linköping	154.0	Thursday	3	June	2021
2021-06-04	St1	14.99	Torvingegatan 1	Linköping	155.0	Friday	4	June	2021
2021-06-05	St1	14.99	Torvingegatan 1	Linköping	156.0	Saturday	5	June	2021
2021-06-06	St1	14.99	Torvingegatan 1	Linköping	157.0	Sunday	6	June	2021
2021-06-07	St1	15.84	Torvingegatan 1	Linköping	158.0	Monday	7	June	2021
2021-06-08	St1	15.84	Torvingegatan 1	Linköping	159.0	Tuesday	8	June	2021
2021-06-09	St1	15.84	Torvingegatan 1	Linköping	160.0	Wednesday	9	June	2021
2021-06-10	St1	15.84	Torvingegatan 1	Linköping	161.0	Thursday	10	June	2021
2021-06-11	St1	15.84	Torvingegatan 1	Linköping	162.0	Friday	11	June	2021
2021-06-12	St1	15.84	Torvingegatan 1	Linköping	163.0	Saturday	12	June	2021
2021-06-13	St1	15.84	Torvingegatan 1	Linköping	164.0	Sunday	13	June	2021
2021-06-14	St1	15.84	Torvingegatan 1	Linköping	165.0	Monday	14	June	2021
2021-06-15	St1	15.94	Torvingegatan 1	Linköping	166.0	Tuesday	15	June	2021
2021-06-16	St1	15.94	Torvingegatan 1	Linköping	167.0	Wednesday	16	June	2021
2021-06-17	St1	15.94	Torvingegatan 1	Linköping	168.0	Thursday	17	June	2021
2021-06-19	St1	15.83	Torvingegatan 1	Linköping	170.0	Saturday	19	June	2021
2021-06-20	St1	15.83	Torvingegatan 1	Linköping	171.0	Sunday	20	June	2021
2021-06-21	St1	16.09	Torvingegatan 1	Linköping	172.0	Monday	21	June	2021
2021-06-22	St1	15.83	Torvingegatan 1	Linköping	173.0	Tuesday	22	June	2021
2021-06-23	St1	15.83	Torvingegatan 1	Linköping	174.0	Wednesday	23	June	2021
2021-06-24	St1	16.19	Torvingegatan 1	Linköping	175.0	Thursday	24	June	2021
2021-06-25	St1	16.19	Torvingegatan 1	Linköping	176.0	Friday	25	June	2021
2021-06-26	St1	16.19	Torvingegatan 1	Linköping	177.0	Saturday	26	June	2021
2021-06-27	St1	16.19	Torvingegatan 1	Linköping	178.0	Sunday	27	June	2021
2021-06-28	St1	16.29	Torvingegatan 1	Linköping	179.0	Monday	28	June	2021
2021-06-29	St1	16.19	Torvingegatan 1	Linköping	180.0	Tuesday	29	June	2021
2021-06-30	St1	16.16	Torvingegatan 1	Linköping	181.0	Wednesday	30	June	2021
2021-07-01	St1	16.29	Torvingegatan 1	Linköping	182.0	Thursday	1	July	2021
2021-07-02	St1	16.29	Torvingegatan 1	Linköping	183.0	Friday	2	July	2021
2021-07-03	St1	16.29	Torvingegatan 1	Linköping	184.0	Saturday	3	July	2021
2021-07-04	St1	16.19	Torvingegatan 1	Linköping	185.0	Sunday	4	July	2021
2021-07-05	St1	16.44	Torvingegatan 1	Linköping	186.0	Monday	5	July	2021
2021-07-06	St1	16.19	Torvingegatan 1	Linköping	187.0	Tuesday	6	July	2021
2021-07-07	St1	16.19	Torvingegatan 1	Linköping	188.0	Wednesday	7	July	2021
2021-07-08	St1	16.24	Torvingegatan 1	Linköping	189.0	Thursday	8	July	2021
2021-07-09	St1	16.24	Torvingegatan 1	Linköping	190.0	Friday	9	July	2021
2021-07-10	St1	16.24	Torvingegatan 1	Linköping	191.0	Saturday	10	July	2021
2021-07-11	St1	16.24	Torvingegatan 1	Linköping	192.0	Sunday	11	July	2021
2021-07-12	St1	16.24	Torvingegatan 1	Linköping	193.0	Monday	12	July	2021
2021-07-13	St1	16.39	Torvingegatan 1	Linköping	194.0	Tuesday	13	July	2021
2021-07-14	St1	16.39	Torvingegatan 1	Linköping	195.0	Wednesday	14	July	2021
2021-07-16	St1	16.19	Torvingegatan 1	Linköping	197.0	Friday	16	July	2021
2021-07-17	St1	16.19	Torvingegatan 1	Linköping	198.0	Saturday	17	July	2021
2021-07-18	St1	16.19	Torvingegatan 1	Linköping	199.0	Sunday	18	July	2021
2021-07-19	St1	16.19	Torvingegatan 1	Linköping	200.0	Monday	19	July	2021
2021-07-20	St1	16.19	Torvingegatan 1	Linköping	201.0	Tuesday	20	July	2021
2021-07-21	St1	16.14	Torvingegatan 1	Linköping	202.0	Wednesday	21	July	2021
2021-07-22	St1	16.14	Torvingegatan 1	Linköping	203.0	Thursday	22	July	2021
2021-07-23	St1	16.29	Torvingegatan 1	Linköping	204.0	Friday	23	July	2021
2021-07-24	St1	16.39	Torvingegatan 1	Linköping	205.0	Saturday	24	July	2021
2021-07-25	St1	16.24	Torvingegatan 1	Linköping	206.0	Sunday	25	July	2021
2021-07-26	St1	16.49	Torvingegatan 1	Linköping	207.0	Monday	26	July	2021
2021-07-28	St1	16.49	Torvingegatan 1	Linköping	209.0	Wednesday	28	July	2021
2021-07-29	St1	16.49	Torvingegatan 1	Linköping	210.0	Thursday	29	July	2021
2021-07-30	St1	16.59	Torvingegatan 1	Linköping	211.0	Friday	30	July	2021
2021-08-01	St1	16.49	Torvingegatan 1	Linköping	213.0	Sunday	01	August	2021
2021-08-03	St1	16.54	Torvingegatan 1	Linköping	215.0	Tuesday	03	August	2021
2021-08-04	St1	16.54	Torvingegatan 1	Linköping	216.0	Wednesday	04	August	2021
2021-08-05	St1	16.44	Torvingegatan 1	Linköping	217.0	Thursday	05	August	2021
2021-08-06	St1	16.54	Torvingegatan 1	Linköping	218.0	Friday	06	August	2021
2021-08-07	St1	16.54	Torvingegatan 1	Linköping	219.0	Saturday	07	August	2021
2021-08-08	St1	16.54	Torvingegatan 1	Linköping	220.0	Sunday	08	August	2021
2021-08-11	St1	16.54	Torvingegatan 1	Linköping	223.0	Wednesday	11	August	2021
2021-08-12	St1	16.44	Torvingegatan 1	Linköping	224.0	Thursday	12	August	2021
2021-08-13	St1	16.44	Torvingegatan 1	Linköping	225.0	Friday	13	August	2021
2021-08-14	St1	16.44	Torvingegatan 1	Linköping	226.0	Saturday	14	August	2021
2021-08-15	St1	16.44	Torvingegatan 1	Linköping	227.0	Sunday	15	August	2021
2021-08-17	St1	16.34	Torvingegatan 1	Linköping	229.0	Tuesday	17	August	2021
2021-08-18	St1	16.05	Torvingegatan 1	Linköping	230.0	Wednesday	18	August	2021
2021-08-19	St1	16.05	Torvingegatan 1	Linköping	231.0	Thursday	19	August	2021
2021-08-20	St1	16.05	Torvingegatan 1	Linköping	232.0	Friday	20	August	2021
2021-08-21	St1	16.05	Torvingegatan 1	Linköping	233.0	Saturday	21	August	2021
2021-08-22	St1	16.05	Torvingegatan 1	Linköping	234.0	Sunday	22	August	2021
2021-08-23	St1	16.14	Torvingegatan 1	Linköping	235.0	Monday	23	August	2021
2021-08-24	St1	16.24	Torvingegatan 1	Linköping	236.0	Tuesday	24	August	2021
2021-08-26	St1	16.39	Torvingegatan 1	Linköping	238.0	Thursday	26	August	2021
2021-08-27	St1	16.39	Torvingegatan 1	Linköping	239.0	Friday	27	August	2021
2021-08-29	St1	16.39	Torvingegatan 1	Linköping	241.0	Sunday	29	August	2021
2021-08-30	St1	16.39	Torvingegatan 1	Linköping	242.0	Monday	30	August	2021
2021-08-31	St1	16.54	Torvingegatan 1	Linköping	243.0	Tuesday	31	August	2021
